,SI,MaxEStateIndex,MinEStateIndex,qed,SPS,HeavyAtomMolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_para_hydroxylation,fr_piperdine,fr_priamide,fr_quatN,fr_sulfide,fr_sulfonamd,fr_thiazole,fr_unbrch_alkane
85,499.9999999999999,4.959652777777778,0.391419595616024,0.669233372197915,38.0,208.1789999999999,0.09785953980592177,-0.32938090592019,0.32938090592019,1.235294117647059,1.882352941176471,15.28006088063436,9.700594704077677,2.591038880084865,-2.3442972979035,2.634390988471913,-2.373653034752706,-0.8683202627069323,2.480571648948569,2.075946121070195,335.3212075678242,-0.37,3.81052071851633,4.483030857694624,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,11.12667547216748,34.23252875985672,4.483030857694624,5.711685002770702,0.0,21.74029171759062,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74788698495495,40.0336764678499,0.0,12.36,0.0,0.0,0.0,10.82998093879356,24.97414987154873,0.0,0.0,41.91422754710344,1.014202097505669,0.0,4.959652777777778,0.0,0.8846078987150414,0.0,4.034098403250189,9.49275037792895,0.9333333333333333,0,2,2,0,0,0,1,2,2,0,2,2,2.979800000000001,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,100.0,11.81027777777778,-0.00694444444444442,0.520631018455888,46.81818181818182,136.109,0.1441097530641579,-0.2984792570899102,0.2984792570899102,1.363636363636364,2.0,16.14154367681972,9.715847456654178,2.582594274074175,-2.305674834476016,2.591092790370451,-2.347174361210905,-0.1342674504621619,2.359855160973368,2.416428519178836,210.1577793885887,-0.33,1.701311022684903,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,10.82998093879356,0.0,4.794537184071822,5.783244946364939,0.0,16.74788698495495,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,16.74788698495495,40.0336764678499,0.0,17.07,0.0,4.794537184071822,0.0,11.70115099252633,6.42082162292601,0.0,0.0,20.77121159907187,0.0,0.0,11.81027777777778,0.0,1.195601851851852,0.0,3.56349537037037,6.373912037037037,0.9,0,1,2,0,0,0,1,1,2,0,2,2,2.401700000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,1.492537313432836,11.81027777777778,-0.00694444444444442,0.520631018455888,46.81818181818182,136.109,0.1441097530641579,-0.2984792570899102,0.2984792570899102,1.363636363636364,2.0,16.14154367681972,9.715847456654178,2.582594274074175,-2.305674834476016,2.591092790370451,-2.347174361210905,-0.1342674504621619,2.359855160973368,2.416428519178836,210.1577793885887,-0.33,1.701311022684903,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,10.82998093879356,0.0,4.794537184071822,5.783244946364939,0.0,16.74788698495495,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,16.74788698495495,40.0336764678499,0.0,17.07,0.0,4.794537184071822,0.0,11.70115099252633,6.42082162292601,0.0,0.0,20.77121159907187,0.0,0.0,11.81027777777778,0.0,1.195601851851852,0.0,3.56349537037037,6.373912037037037,0.9,0,1,2,0,0,0,1,1,2,0,2,2,2.401700000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1.492537313432836,11.81027777777778,-0.00694444444444442,0.520631018455888,46.81818181818182,136.109,0.1441097530641579,-0.2984792570899102,0.2984792570899102,1.363636363636364,2.0,16.14154367681972,9.715847456654178,2.582594274074175,-2.305674834476016,2.591092790370451,-2.347174361210905,-0.1342674504621619,2.359855160973368,2.416428519178836,210.1577793885887,-0.33,1.701311022684903,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,10.82998093879356,0.0,4.794537184071822,5.783244946364939,0.0,16.74788698495495,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,16.74788698495495,40.0336764678499,0.0,17.07,0.0,4.794537184071822,0.0,11.70115099252633,6.42082162292601,0.0,0.0,20.77121159907187,0.0,0.0,11.81027777777778,0.0,1.195601851851852,0.0,3.56349537037037,6.373912037037037,0.9,0,1,2,0,0,0,1,1,2,0,2,2,2.401700000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,4.830917874396135,11.573125,0.02546296296296324,0.5206310184558879,46.81818181818182,136.109,0.139098746270497,-0.2990642887496957,0.2990642887496957,1.363636363636364,2.0,16.14018962316525,9.704437478909037,2.606035461251651,-2.319067464636105,2.628827346724943,-2.316780351725085,-0.1277547418679922,2.198801360387112,2.474151724379751,216.9126668907522,-0.33,1.701311022684903,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,11.83581209232279,0.0,4.794537184071822,5.783244946364939,0.0,16.74788698495495,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,16.74788698495495,40.0336764678499,0.0,17.07,0.0,4.794537184071822,0.0,11.70115099252633,6.42082162292601,0.0,0.0,20.77121159907187,0.0,0.0,11.573125,0.0,1.193287037037037,0.0,3.252222222222223,6.674074074074074,0.9,0,1,2,0,0,0,1,1,2,0,2,2,2.401700000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,27.22068965517241,5.330025958239348,0.3238769507448742,0.1894234311403308,32.40909090909091,536.4680000000003,0.1043972264893486,-0.3187846312588548,0.3187846312588548,0.5909090909090909,0.9318181818181818,15.35421732219972,9.70058377801104,2.602458938609712,-2.379162811292069,2.64532627563765,-2.487764499263552,-0.93621905696293,3.529964433721759,1.19152978060694,1119.267850712755,-1.52,12.25294317580048,8.966061715389248,13.08951281182515,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,33.38025392772895,52.35805124730059,8.966061715389248,11.4233700055414,0.0,43.48058343518124,120.8518145462874,35.39237125724043,0.0,0.0,0.0,0.0,0.0,13.08951281182515,33.49577396990991,118.8892047178563,0.0,24.72,0.0,0.0,0.0,21.65996187758712,87.25422835014176,0.0,0.0,93.50284027075266,2.250996824104966,0.0,10.66005191647869,0.0,1.677161368812766,9.71207759585826,7.937223551943044,35.60671487672374,0.8,0,4,4,0,0,1,2,4,4,0,4,5,8.974200000000005,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
91,41.70408163265306,4.888402777777778,0.3928368291761147,0.7167185622210389,38.875,196.1679999999999,0.05156745497400095,-0.3075621031818108,0.3075621031818108,1.3125,2.0,15.06558224218142,9.700602985677461,2.590631766839217,-2.343027305961108,2.634304398555515,-2.325523933177455,0.1934765522634131,2.494927514090688,2.092189940654375,303.8572023351798,-0.37,3.832601850168842,4.899909730850478,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,17.67143187808006,6.544756405912575,0.0,5.711685002770702,4.899909730850478,21.74029171759062,40.0336764678499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74788698495495,40.0336764678499,0.0,15.6,0.0,0.0,0.0,10.82998093879356,24.97414987154873,0.0,0.0,39.76646529527673,0.0,0.0,7.101442035147393,0.0,0.884820483749055,0.0,4.026382353867473,9.373171296296297,0.9285714285714286,0,2,2,0,0,0,2,2,2,0,2,2,2.835200000000001,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,34.08666666666667,5.313303471191206,0.3604579538385329,0.09490407392384424,32.04444444444444,548.4790000000003,0.09846372789170904,-0.3225326946838815,0.3225326946838815,0.5111111111111111,0.8444444444444444,15.35232215180843,9.700585357619522,2.602367594413684,-2.373218249862871,2.645267627618499,-2.49785422540329,-0.9233518965246148,3.5440761635173,1.101105864836499,934.5294576128031,-0.74,14.79617932108343,8.966061715389248,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,22.25335094433497,65.44756405912574,8.966061715389248,11.4233700055414,0.0,43.48058343518124,152.7080530949444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49577396990991,152.7080530949444,0.0,24.72,0.0,0.0,0.0,21.65996187758712,144.794794060728,11.4233700055414,0.0,69.23737199690622,2.522763633557112,0.0,10.62660694238241,0.0,1.733410814201973,0.0,17.92216345502242,36.95878248033653,0.9512195121951219,0,4,4,0,0,0,2,4,4,0,4,4,10.0047,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
93,24.11764705882353,11.32824782690854,-0.1207638888888889,0.5713739304180462,41.86666666666667,256.0339999999999,0.3163521672428211,-0.4611341884161962,0.4611341884161962,1.466666666666667,2.133333333333333,79.9187297101543,9.697430801751452,2.622910584995777,-2.378513081967899,2.657064125048125,-2.380277378430433,-0.1528784014939042,2.500668966158611,2.153120240441316,287.3467066428731,-0.05000000000000004,3.474073640950248,4.736862953800049,11.43405603480973,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,5.41499046939678,0.0,9.53140013787187,21.8992491859012,0.0,16.74788698495495,46.1376428555982,0.0,0.0,0.0,0.0,0.0,15.92994389794935,9.53140013787187,16.74788698495495,40.0336764678499,0.0,26.3,0.0,4.794537184071822,0.0,10.74508011645821,12.84164324585202,0.0,0.0,36.70115549702122,5.547222222222222,3.146734811980348,11.32824782690854,0.3101936885865459,0.6112967687074828,0.0,3.690028462773998,6.935962537792895,0.9166666666666666,0,2,2,0,0,0,2,3,2,0,2,2,3.139300000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,37.69230769230769,5.50351902650153,0.3977432523935498,0.7155705276423804,35.55555555555556,220.1899999999999,0.03884365172291283,-0.3304735039279681,0.3304735039279681,1.166666666666667,1.888888888888889,14.81087439382815,9.700535239698429,2.590569550456134,-2.342607513704742,2.634567687856483,-2.321834427650471,0.1935138990700511,2.660947746678204,1.839641419080576,319.0586500259616,-0.37,5.321676068475822,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,17.67143187808006,0.0,0.0,5.711685002770702,0.0,27.4739591947528,65.71696295955394,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,16.74788698495495,65.71696295955394,0.0,38.38,0.0,0.0,0.0,10.82998093879356,50.65743636325277,0.0,0.0,20.77121159907187,0.0,0.0,4.956306689342404,0.0,0.8874908847198708,0.0,9.014202027446526,9.233013937821838,0.9375,2,2,2,0,0,0,2,2,2,0,2,2,3.792700000000004,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
